Trial,Phone_Timer_s,Stopwatch_Reading_s,Error_s
1,4.15,4.3,0.15
2,4.15,4,-0.25
3,4.15,4.2,0.05
4,4.15,4.2,0.05
5,4.15,4.1,-0.05
6,4.15,4.1,-0.05
7,4.15,4.1,-0.05
8,4.15,4.2,0.05
9,4.15,4,-0.15
10,4.15,4.3,0.15
11,4.15,4.1,-0.05
12,4.15,4,-0.15
13,4.15,4.2,0.05
14,4.15,4.1,-0.05
15,4.15,4.3,0.15
16,4.15,4.1,-0.05
17,4.15,4.3,0.15
18,4.15,4.1,-0.05
19,4.15,4.2,0.05
20,4.15,4.1,-0.05
21,4.15,4.1,-0.05
22,4.15,4.3,0.15
23,4.15,4.1,-0.05
24,4.15,4.3,0.15
25,4.15,4,-0.15
26,4.15,4.1,-0.05
27,4.15,4.2,0.05
28,4.15,4.2,0.05
29,4.15,4.3,0.15
30,4.15,4.2,0.05
31,4.15,4.1,-0.05
32,4.15,4,-0.15
33,4.15,4.3,0.15
34,4.15,4.3,0.15
35,4.15,4.1,-0.05
36,4.15,4,-0.15
37,4.15,4,-0.15
38,4.15,4.2,0.05
39,4.15,4.1,-0.05
40,4.15,4.3,0.15
41,4.15,4.2,0.05
42,4.15,4.5,0.35
43,4.15,4.4,0.25
44,4.15,4.3,0.15
45,4.15,4.4,0.25
46,4.15,4.3,0.15
47,4.15,3.8,-0.45
48,4.15,4.3,0.15
49,4.15,4.3,0.15
50,4.15,4.3,0.15
